Sample Time MS,Sample Cycles,Interesting Time MS,Interesting Cycles,Q Sort Time MS,Q Sort Cycles
278,889286,297,948689,84,269541
261,830781,238,759171,88,278814
264,841945,249,795434,85,270208
249,795967,237,756437,87,275564
309,985572,241,770541,86,275435
229,733648,237,756422,86,275169
230,733501,253,806442,86,274639
232,741024,243,776055,88,280318
223,713099,226,720666,87,277170
246,784789,245,782270,87,280033
219,700472,251,800950,89,282675
253,805313,226,720443,87,275233
222,710065,223,711663,86,271358
229,729900,243,774487,86,274885
223,713728,244,778364,92,291743
247,786278,250,796378,84,268547
288,919516,239,762374,86,275396
423,1349919,291,927108,88,279415
271,867385,262,838206,85,270426
264,841471,373,1192043,256,815183
408,1303799,402,1283237,256,817829
424,1353185,444,1415871,107,342690
250,797553,311,991165,90,289350
342,1093597,318,1012634,89,284080
266,848796,461,1469059,96,306656
312,995136,281,896613,85,272392
304,969997,272,869264,87,274787
360,1151786,254,811183,87,275858
237,757108,233,740704,86,274537
241,770624,314,1001014,87,277087
236,754138,228,726863,85,270405
236,753475,235,748597,85,270919
238,759573,220,700697,86,274925
227,725215,260,829122,85,269912
248,790896,220,703245,86,276769
243,775187,236,753256,89,286071
230,735516,230,731693,86,274951
250,799775,227,723460,88,281217
237,756966,239,764174,86,272011
245,781603,223,712015,91,292735
247,788073,227,725841,87,275758
375,1199307,353,1125656,89,284304
298,949038,292,931454,88,280755
314,1003975,291,928794,86,272862
315,1006320,284,907920,89,284539
260,830946,265,844681,85,271526
280,893909,262,836036,85,271427
232,741184,296,944935,92,293374
382,1221054,250,796424,89,282695
321,1024079,264,841562,86,277297
267,855186,250,800686,88,282726
247,789822,340,1087454,105,336087
263,840516,248,791072,86,274097
269,857113,247,789501,84,268797
251,800495,220,701664,86,274516
228,728198,236,755763,86,275805
235,750958,232,738116,87,279177
224,716568,247,785897,86,274774
230,733537,239,762054,86,275461
229,730763,253,807330,85,272455
241,769296,251,801645,86,273884
228,727587,237,755631,85,272791
241,769049,240,765131,85,270788
238,761444,227,725073,86,273490
232,740755,238,760990,92,294984
256,818422,220,702873,85,271913
242,773480,263,837596,86,274218
254,810065,275,878706,84,269519
300,956464,294,935953,168,534630
241,771176,236,751770,143,455433
268,855983,266,850261,88,280457
355,1130970,276,881200,89,285541
256,816711,225,717535,85,272255
277,884944,243,777915,88,279766
350,1115910,369,1176621,85,271767
394,1255458,282,901561,86,274442
270,859266,339,1082697,87,278484
261,830990,264,842187,85,271989
233,743414,252,803818,88,279556
255,813451,228,727310,86,273823
223,712145,250,796980,85,271235
230,733923,237,758119,86,276650
247,789184,224,715957,88,278420
304,968204,241,770110,88,278550
243,776182,231,738126,87,277664
236,751662,233,743517,85,271179
239,763668,264,841051,87,277593
235,749076,241,768984,85,271765
231,738056,233,743599,86,276261
245,782066,245,781770,92,293978
241,768803,243,775781,85,270508
218,696146,222,707582,87,278363
283,902689,237,758546,87,276699
266,849357,285,907848,85,269859
225,718490,242,769883,87,276775
220,704302,237,754676,118,376639
374,1192826,295,940255,87,276970
279,889953,259,824752,89,283711
256,815607,256,817448,85,272180
280,892511,245,782398,87,279072
341,1090507,305,974110,86,274792
343,1095276,271,864234,166,529676
272,866990,300,956514,86,275161
287,915493,279,887976,85,270685
284,908849,253,808340,88,282139
268,854878,226,721825,84,269603
229,730293,244,779395,85,270560
236,751255,251,801531,85,273917
241,769362,236,752119,85,270432
